case_id,point,event_index,event_type,spectrum_kind,multiplier_index,real,imag
MC-LC-001,63,-1,BRANCH,FLOQUET,1,2.67167353516128e-08,0
MC-LC-001,64,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,64,-1,BRANCH,FLOQUET,1,2.45115506791761e-08,0
MC-LC-001,65,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,65,-1,BRANCH,FLOQUET,1,2.24838581966992e-08,0
MC-LC-001,66,-1,BRANCH,FLOQUET,0,0.999999999999998,0
MC-LC-001,66,-1,BRANCH,FLOQUET,1,2.06197590138321e-08,0
MC-LC-001,67,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,67,-1,BRANCH,FLOQUET,1,1.89064101572885e-08,0
MC-LC-001,68,-1,BRANCH,FLOQUET,0,0.999999999999996,0
MC-LC-001,68,-1,BRANCH,FLOQUET,1,1.73319470134807e-08,0
MC-LC-001,69,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,69,-1,BRANCH,FLOQUET,1,1.5885411254561e-08,0
MC-LC-001,70,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,70,-1,BRANCH,FLOQUET,1,1.4556683876841e-08,0
MC-LC-001,71,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,71,-1,BRANCH,FLOQUET,1,1.33364230043957e-08,0
MC-LC-001,72,-1,BRANCH,FLOQUET,0,0.999999999999998,0
MC-LC-001,72,-1,BRANCH,FLOQUET,1,1.2216006133061e-08,0
MC-LC-001,73,-1,BRANCH,FLOQUET,0,0.999999999999997,0
MC-LC-001,73,-1,BRANCH,FLOQUET,1,1.11874765110752e-08,0
MC-LC-001,74,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,74,-1,BRANCH,FLOQUET,1,1.02434933723782e-08,0
MC-LC-001,75,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,75,-1,BRANCH,FLOQUET,1,9.37728575712956e-09,0
MC-LC-001,76,-1,BRANCH,FLOQUET,0,0.999999999999997,0
MC-LC-001,76,-1,BRANCH,FLOQUET,1,8.58260967142231e-09,0
MC-LC-001,77,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,77,-1,BRANCH,FLOQUET,1,7.8537083544979e-09,0
MC-LC-001,78,-1,BRANCH,FLOQUET,0,0.999999999999997,0
MC-LC-001,78,-1,BRANCH,FLOQUET,1,7.18527543709029e-09,0
MC-LC-001,79,-1,BRANCH,FLOQUET,0,1,0
MC-LC-001,79,-1,BRANCH,FLOQUET,1,6.57242078889248e-09,0
