case_id,point,parameter,period,residual_norm,state_0_min,state_0_max,state_1_min,state_1_max,state_2_min,state_2_max
MC-LC-002,11,-0.588101178493114,8.16107732692921,6.78503156437138e-11,-0.0339510048856026,0.0462812345046798,-0.038407011155647,0.0364720558727238,-0.0456598051696157,0.0516545983144706
MC-LC-002,12,-0.587664645283814,8.17592252482579,7.21602951003764e-11,-0.0414505829843281,0.0542931117518873,-0.0454089273246089,0.0435035800974507,-0.0547626084957311,0.0610265522516057
MC-LC-002,13,-0.587194917464214,8.19324136232845,7.54446886908067e-11,-0.0489183274478308,0.0623969773630394,-0.0523248111469524,0.0504561562539159,-0.0637850399858326,0.0703829723262721
MC-LC-002,14,-0.586709935290002,8.21298340972941,7.86366666227778e-11,-0.0563461548693176,0.0706056016481403,-0.0591427517157562,0.0573190154152494,-0.0727143458486405,0.0797219438503418
MC-LC-002,15,-0.58622851168038,8.23509695659284,4.57966997657877e-15,-0.063721176926816,0.0789341741260762,-0.0658511242380454,0.0640820573789766,-0.081535703574394,0.0890432488100335
MC-LC-002,16,-0.585769888617652,8.25953098745064,5.00988139862102e-15,-0.0710239597563735,0.0874013772890739,-0.0724382687783331,0.0707356757618804,-0.0902311269137837,0.0983487408271612
MC-LC-002,17,-0.58535339227858,8.28623712596775,5.03763697423665e-15,-0.078225830327131,0.0960309676287228,-0.0788919165376934,0.0772704068709191,-0.0987777144314136,0.1076428267424
MC-LC-002,18,-0.58499823060921,8.31517135807399,5.25968157916168e-15,-0.0852845692969427,0.104854076211311,-0.0851981771044567,0.0836762608542274,-0.107144778226754,0.116933048096533
MC-LC-002,19,-0.58472349492586,8.34629504393381,5.44009282066327e-15,-0.0921373194529654,0.113912469326718,-0.091357276180896,0.0899414317803372,-0.115288994584309,0.126230643665999
MC-LC-002,20,-0.584548463711856,8.37957366090773,8.53830894875784e-15,-0.0986886489482441,0.123272500534126,-0.0973378279714773,0.0960497270855979,-0.123145980195031,0.135550617115623
MC-LC-002,21,-0.584492842421877,8.41186621425809,8.70831184940357e-15,-0.10429220632142,0.132187032934493,-0.102616119286191,0.101483899622336,-0.129996487250788,0.14410900497312
MC-LC-002,22,-0.584493358842181,8.41496869432229,1.0325074129014e-14,-0.104790411126514,0.133037629602131,-0.103097847929048,0.101983020812494,-0.130615452181462,0.144909759749364
MC-LC-002,23,-0.584580695603187,8.45241002265753,8.88178419700125e-15,-0.110209547825221,0.143278000429802,-0.108574586545075,0.107695984011464,-0.137535882331603,0.154318125978991
MC-LC-002,24,-0.584836891989995,8.49171991716876,8.82627304576999e-15,-0.114587798883558,0.154089390056152,-0.11365813331828,0.113090676153368,-0.143648166344914,0.163753093761136
MC-LC-002,25,-0.585291693098402,8.53246066624818,8.93729534823251e-15,-0.117439260387409,0.165488873029718,-0.118169133299462,0.118009732428161,-0.148576763988595,0.173102344918225
MC-LC-002,26,-0.585969961877043,8.57384577758822,7.49400541621981e-15,-0.118318233387523,0.177280583644474,-0.121887478043117,0.122242009747173,-0.151964703682587,0.182111122820814
MC-LC-002,27,-0.586879676062508,8.61518878235908,1.00752739484733e-14,-0.117176463535925,0.189063359685109,-0.124694089163676,0.125648507921492,-0.153671623508897,0.19048403190657
MC-LC-002,28,-0.588016950984963,8.65665542257135,3.39728245535298e-14,-0.114453752411831,0.200513114348441,-0.126681918775044,0.128283584008329,-0.153975801685013,0.198114042137628
MC-LC-002,29,-0.589380463963245,8.69912035088204,9.10382880192628e-15,-0.110739949383107,0.211589868355695,-0.12808498184582,0.130325585772331,-0.15332568573397,0.205100970218046
MC-LC-002,30,-0.590973522506254,8.74350278548036,7.105427357601e-15,-0.106513689908531,0.222347033762326,-0.129132842400095,0.131979488972066,-0.15210927213592,0.211607836489383
MC-LC-002,31,-0.592799852164599,8.79044691955343,1.08801856413265e-14,-0.102103476071198,0.232784778965912,-0.129929300345178,0.133366894694691,-0.150602353593403,0.217776394560943
MC-LC-002,32,-0.594860667461664,8.8403034372897,1.4432899320127e-14,-0.0977253290370342,0.242955434541129,-0.130578417085924,0.134579002414241,-0.148990632686163,0.223710307617311
MC-LC-002,33,-0.595750403989607,8.86109929893307,8.77076189453874e-15,-0.0960162174858609,0.246958175672663,-0.13081359586988,0.135030266955958,-0.148345807777164,0.22603545529223
MC-LC-002,34,-0.597153529016068,8.89319696212437,9.76996261670138e-15,-0.0935203426161474,0.252894739500343,-0.131151127956377,0.135681144600671,-0.147398043552939,0.229480848435606
MC-LC-002,35,-0.599672173550672,8.94909565401926,1.21014309684142e-14,-0.0895795232542209,0.262624580729322,-0.131695526299807,0.136717550051653,-0.145906738997726,0.235135510149765
MC-LC-002,36,-0.602406842721432,9.00786638868272,1.16850973341798e-14,-0.0859590943287132,0.272231706932229,-0.132243705009242,0.137717468943937,-0.144569754221152,0.240704933510123
MC-LC-002,37,-0.60534487819964,9.06931605951989,1.19904086659517e-14,-0.0826902237791671,0.281715648663117,-0.132898654903422,0.138699244836771,-0.143419142712976,0.246207877153667
MC-LC-002,38,-0.608471448238816,9.13322200344376,1.0769163338864e-14,-0.0797856918537731,0.291013096164195,-0.133595014229238,0.139673128248537,-0.142471536225047,0.25165474081093
MC-LC-002,39,-0.611770293700795,9.19935374249076,1.2712053631958e-14,-0.0772448183868472,0.300123139235639,-0.134336167023719,0.14064335252294,-0.141732222786999,0.257050099181653
MC-LC-002,40,-0.61468165370709,9.25684575645854,1.21569421196455e-14,-0.0753726027827946,0.307678980174668,-0.134999088297597,0.141460882534096,-0.141267618957875,0.261572751746057
MC-LC-002,41,-0.615224412903373,9.26748775800875,1.13797860024079e-14,-0.0750572992002974,0.309043895960095,-0.135123670353367,0.14160973665115,-0.141198294094421,0.262394550041238
MC-LC-002,42,-0.618816632761633,9.33741669465111,1.39332989590457e-14,-0.0732062506606694,0.317773201353077,-0.135955971733231,0.142568951899168,-0.140861128608522,0.267686065829817
MC-LC-002,43,-0.622530044725237,9.40895429086612,1.24344978758018e-14,-0.0716706099400575,0.326380939893442,-0.136842519397003,0.143515525332662,-0.140708342630405,0.272920972027645
MC-LC-002,44,-0.626348306763067,9.48193719196177,1.35447209004269e-14,-0.0704269858459014,0.334864011030597,-0.137844165620608,0.144524063431383,-0.140725299817288,0.278094642310028
MC-LC-002,45,-0.630255830460974,9.55622468934077,1.18238752122579e-14,-0.0694510403164138,0.343149573747377,-0.138877800484432,0.145512234836736,-0.140896240400004,0.283201977319819
MC-LC-002,46,-0.634237876544719,9.63169717915194,1.58206781009085e-14,-0.0687184808000569,0.351235858577972,-0.139937377383095,0.146472231741171,-0.141205101193455,0.288237722837407
MC-LC-002,47,-0.638280584181731,9.70825395430233,1.4432899320127e-14,-0.0682057403998742,0.359121531421945,-0.141016817267643,0.147396231562863,-0.141636085994154,0.29319667050181
MC-LC-002,48,-0.642370955832981,9.78581074549151,1.45439216225896e-14,-0.0678904164834213,0.36680567759667,-0.142110199513322,0.148276591621559,-0.142174042845597,0.298093918323917
MC-LC-002,49,-0.646496814997068,9.86429727639732,1.99840144432528e-14,-0.0677515287859233,0.374287778423138,-0.143213118418901,0.149105998136591,-0.142804696420393,0.302940432792475
MC-LC-002,50,-0.650646749598031,9.94365498528021,1.22124532708767e-14,-0.0677696470721502,0.381637676434559,-0.144410031428444,0.149877561463713,-0.143514775058369,0.307701026317226
MC-LC-002,51,-0.65481004979519,10.0238349875442,1.94011473553246e-14,-0.067926927715058,0.388834573103697,-0.145606075140287,0.150686920629059,-0.14429206357113,0.312371395581249
MC-LC-002,52,-0.658976645874171,10.1047963038938,2.18991491607312e-14,-0.0682070890589385,0.395824213667712,-0.146796705688866,0.15145211381801,-0.145125405475786,0.316947432774396
MC-LC-002,53,-0.663137049595554,10.1865043491023,1.85962356624714e-14,-0.0685953475655303,0.402606579243795,-0.147977762132465,0.152149241812653,-0.14600467214774,0.321425200873145
MC-LC-002,54,-0.667282300799903,10.2689296605815,1.94323723778922e-14,-0.0690783305230768,0.409181959216087,-0.14914545104359,0.152773400609224,-0.146920711500485,0.325800906514677
MC-LC-002,55,-0.671403920033994,10.3520468389692,1.80966353013901e-14,-0.0696439763590027,0.415550924688841,-0.150296325561201,0.153320166616306,-0.147865285073953,0.330070873420038
MC-LC-002,56,-0.67549386732301,10.4358336712866,1.49880108324396e-14,-0.0702814300853594,0.421714298607023,-0.151427261686138,0.153799943908411,-0.148830999646319,0.334231518226278
MC-LC-002,57,-0.679544506845204,10.5202704085272,1.66533453693773e-14,-0.0709809388633932,0.427673123168287,-0.152620578039675,0.15433592808,-0.14981123747579,0.3383584111731
MC-LC-002,58,-0.683548577076261,10.605339172299,1.86101134502792e-14,-0.071733750867898,0.433428625390351,-0.153793556909639,0.154791491638944,-0.15080008784815,0.342396624186386
MC-LC-002,59,-0.687499165894015,10.691023468458,1.56541446472147e-14,-0.0725320193725043,0.438982181834524,-0.154939794948136,0.155163844198755,-0.151792281603658,0.346319893494005
MC-LC-002,60,-0.691389690124304,10.7773077890296,1.75831571525009e-14,-0.0733834195710008,0.44433528352821,-0.156057220256638,0.155450568679818,-0.152783129625701,0.350124662257722
MC-LC-002,61,-0.695213879035057,10.8641772868358,1.9817480989559e-14,-0.074267760176353,0.449524668252034,-0.157143969507875,0.155651101268766,-0.153768465804502,0.353807393099216
MC-LC-002,62,-0.698965761328671,10.9516175100253,1.60982338570648e-14,-0.0751765609392501,0.454517578490605,-0.158198369387421,0.155943100636189,-0.15474459467615,0.35738755938571
MC-LC-002,63,-0.702639655230151,11.0396141860958,1.86517468137026e-14,-0.0761045451256127,0.459304799866366,-0.159218919733299,0.15615150264098,-0.155708243732542,0.36094702767381
MC-LC-002,64,-0.706230161313471,11.1281530470194,2.53130849614536e-14,-0.0770469630268649,0.46388790785925,-0.16020427833928,0.15627502833159,-0.156656520267419,0.36437793899949
MC-LC-002,65,-0.709732157747349,11.2172196887645,2.44249065417534e-14,-0.0779995360283124,0.468268522509174,-0.161183038087155,0.156312683297519,-0.157586872543616,0.367676684406998
MC-LC-002,66,-0.713140797672674,11.3067994598923,2.3259172365897e-14,-0.0789584062631431,0.472448285278702,-0.162180346707916,0.156317109040836,-0.158497055020202,0.37083971185468
MC-LC-002,67,-0.716451508446916,11.3968773750317,2.09970929532233e-14,-0.0799200914259929,0.476428839947322,-0.16314017865199,0.156388090212084,-0.159385097354022,0.373931155093097
MC-LC-002,68,-0.719659992506552,11.4874380499447,1.5931700403371e-14,-0.0808814443231703,0.48021181772977,-0.164061713627931,0.156378374524821,-0.160249276880454,0.376963402324084
MC-LC-002,69,-0.722762229608012,11.5784656556115,1.95399252334028e-14,-0.0818396167509194,0.483798826656725,-0.16494423515422,0.156287743527612,-0.16108809427773,0.379852986332188
MC-LC-002,70,-0.725754480212112,11.669943889329,2.28705943072782e-14,-0.082792027313776,0.487191881945543,-0.165787123465285,0.156116204829014,-0.161900252124626,0.382596566765433
MC-LC-002,71,-0.72863328977787,11.7618559612373,1.9151347174784e-14,-0.0837363328189709,0.49044323499585,-0.16658984939832,0.156013195199389,-0.162684636070241,0.385204361022969
MC-LC-002,72,-0.731395493730421,11.8541845950058,1.70106984054286e-14,-0.0846704029079171,0.493511815334598,-0.167351969152269,0.155908129419463,-0.163440298345805,0.387810722751369
MC-LC-002,73,-0.734038222865885,11.9469120416163,1.72084568816899e-14,-0.0855940667476552,0.496398750480405,-0.168073119810663,0.155729087364897,-0.164166443360842,0.390264851204917
MC-LC-002,74,-0.736558908954712,12.0400201053209,2.11497486191092e-14,-0.0865286999754974,0.499105129697878,-0.168753015521134,0.155476603796388,-0.164862415139274,0.392563941394886
MC-LC-002,75,-0.738955290305539,12.1334901809077,2.43138842392909e-14,-0.0874522167129084,0.501632017787024,-0.169391444226591,0.155172802333229,-0.165527686364676,0.394705415106117
MC-LC-002,76,-0.741225417054816,12.2273033014206,2.25652829755063e-14,-0.0883632583893469,0.503980470328044,-0.170037220961717,0.155013112606384,-0.166161848818006,0.39683743608038
MC-LC-002,77,-0.743367655954314,12.3214401954435,2.1094237467878e-14,-0.0892605778382802,0.50615154992884,-0.170676439531768,0.154787489546275,-0.16676460500538,0.39883535156685
MC-LC-002,78,-0.745380694439632,12.4158813529912,2.17603712826531e-14,-0.0901430270451998,0.508146343043229,-0.171275090143269,0.154496840435723,-0.16733576078813,0.400671830815626
MC-LC-002,79,-0.747263543778405,12.5106070989659,2.23154827949656e-14,-0.091009546458648,0.509996399727237,-0.171833246296523,0.154142225864366,-0.167875218842232,0.402345191212488
